Number of Rows
--------------
9938
 
Hidden States
-------------
[ 5  8  8 ... 14 14 14]
 
Record of data hidden state
**********************************
No.     mean of X  -  mean of Y      #Number
199      -5.60374132216     -  -5.4182529278      0
200      -5.60374132216     -  -5.50092846236      0
201      -5.60374132216     -  -4.89610596363      0
202      -5.60374132216     -  -5.57780151223      37
203      -5.60374132216     -  -5.69381816614      1
204      -5.60374132216     -  -5.60374132216      791
205      -5.60374132216     -  -4.44271866439      0
206      -5.60374132216     -  -5.55893091787      0
207      -5.60374132216     -  -5.37147303384      6
208      -4.44271866439     -  -5.52521173291      0
209      -4.44271866439     -  -4.52912809899      5
210      -4.44271866439     -  -5.10185539429      0
211      -4.44271866439     -  -3.36100878731      0
212      -4.44271866439     -  -5.64050299191      0
213      -4.44271866439     -  -5.46788233529      0
214      -4.44271866439     -  -5.53915973045      0
215      -4.44271866439     -  -5.4182529278      1
216      -4.44271866439     -  -5.50092846236      0
217      -4.44271866439     -  -4.89610596363      0
218      -4.44271866439     -  -5.57780151223      0
219      -4.44271866439     -  -5.69381816614      0
220      -4.44271866439     -  -5.60374132216      0
221      -4.44271866439     -  -4.44271866439      267
222      -4.44271866439     -  -5.55893091787      0
223      -4.44271866439     -  -5.37147303384      0
224      -5.55893091787     -  -5.52521173291      2
225      -5.55893091787     -  -4.52912809899      0
226      -5.55893091787     -  -5.10185539429      0
227      -5.55893091787     -  -3.36100878731      0
228      -5.55893091787     -  -5.64050299191      0
229      -5.55893091787     -  -5.46788233529      0
230      -5.55893091787     -  -5.53915973045      1
231      -5.55893091787     -  -5.4182529278      0
232      -5.55893091787     -  -5.50092846236      0
233      -5.55893091787     -  -4.89610596363      0
234      -5.55893091787     -  -5.57780151223      29
235      -5.55893091787     -  -5.69381816614      0
236      -5.55893091787     -  -5.60374132216      0
237      -5.55893091787     -  -4.44271866439      0
238      -5.55893091787     -  -5.55893091787      1051
239      -5.55893091787     -  -5.37147303384      19
240      -5.37147303384     -  -5.52521173291      24
241      -5.37147303384     -  -4.52912809899      3
242      -5.37147303384     -  -5.10185539429      0
243      -5.37147303384     -  -3.36100878731      0
244      -5.37147303384     -  -5.64050299191      3
245      -5.37147303384     -  -5.46788233529      4
246      -5.37147303384     -  -5.53915973045      2
247      -5.37147303384     -  -5.4182529278      0
248      -5.37147303384     -  -5.50092846236      23
249      -5.37147303384     -  -4.89610596363      0
250      -5.37147303384     -  -5.57780151223      9
251      -5.37147303384     -  -5.69381816614      0
252      -5.37147303384     -  -5.60374132216      6
253      -5.37147303384     -  -4.44271866439      0
254      -5.37147303384     -  -5.55893091787      16
255      -5.37147303384     -  -5.37147303384      22
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      800.01033     -  800.01033      -5.46788233529        5               0.0
1      800.02031     -  800.07038      -5.50092846236        8               0.05007
2      800.08045     -  800.13038      -5.46788233529        5               0.0499299999999
3      800.14033     -  800.17033      -5.52521173291        0               0.0300000000001
4      800.18038     -  800.21033      -5.46788233529        5               0.02995
5      800.22033     -  800.31033      -5.64050299191        4               0.09
6      800.32033     -  800.40033      -5.60374132216        12               0.08
7      800.4111     -  800.45033      -5.64050299191        4               0.03923
8      800.46038     -  800.59038      -5.60374132216        12               0.13
9      800.60038     -  800.64033      -5.64050299191        4               0.03995
10      800.65033     -  800.66116      -5.52521173291        0               0.0108299999999
11      800.67033     -  800.67033      -5.37147303384        15               0.0
12      800.68036     -  800.68036      -5.52521173291        0               0.0
13      800.69033     -  800.69033      -5.37147303384        15               0.0
14      800.70036     -  800.70036      -5.53915973045        6               0.0
15      800.71033     -  800.83037      -5.60374132216        12               0.12004
16      800.8746     -  800.8746      -5.37147303384        15               0.0
17      800.89957     -  800.98037      -5.64050299191        4               0.0808
18      800.99037     -  800.99037      -5.53915973045        6               0.0
19      801.00032     -  801.08041      -5.60374132216        12               0.08009
20      801.09033     -  801.23033      -5.64050299191        4               0.14
21      801.24032     -  801.32036      -5.60374132216        12               0.0800400000001
22      801.33037     -  801.33037      -5.53915973045        6               0.0
23      801.34035     -  801.37036      -5.46788233529        5               0.0300100000001
24      801.38098     -  801.39037      -5.50092846236        8               0.00938999999994
25      801.40032     -  801.43037      -5.52521173291        0               0.0300500000001
26      801.44037     -  801.45032      -5.37147303384        15               0.00995
27      801.46037     -  801.48037      -5.52521173291        0               0.02
28      801.49032     -  801.50037      -5.37147303384        15               0.01005
29      801.51032     -  801.51032      -4.52912809899        1               0.0
30      801.52037     -  801.66033      -5.52521173291        0               0.13996
31      801.67037     -  801.67037      -5.46788233529        5               0.0
32      801.68033     -  801.69789      -5.4182529278        7               0.01756
33      801.72954     -  801.74033      -5.46788233529        5               0.0107899999999
34      801.75031     -  801.77033      -5.50092846236        8               0.0200199999999
35      801.78031     -  801.78031      -5.37147303384        15               0.0
36      801.79037     -  801.81038      -5.50092846236        8               0.02001
37      801.82037     -  801.82037      -5.46788233529        5               0.0
38      801.83033     -  801.86038      -5.50092846236        8               0.03005
39      801.87038     -  801.87038      -5.46788233529        5               0.0
40      801.88033     -  801.88033      -5.4182529278        7               0.0
41      801.89033     -  802.06032      -5.46788233529        5               0.16999
42      802.07036     -  802.07036      -5.37147303384        15               0.0
43      802.08037     -  802.09037      -5.50092846236        8               0.00999999999999
44      802.10037     -  802.11032      -5.37147303384        15               0.00995
45      802.12032     -  802.25037      -5.52521173291        0               0.13005
46      802.26037     -  802.34037      -5.46788233529        5               0.08
47      802.35032     -  802.40036      -5.50092846236        8               0.05004
48      802.41092     -  802.42031      -5.46788233529        5               0.00938999999994
49      802.46327     -  802.46327      -4.52912809899        1               0.0
50      802.47033     -  802.48033      -5.37147303384        15               0.00999999999999
51      802.49037     -  802.51033      -5.52521173291        0               0.01996
52      802.52037     -  802.52037      -5.37147303384        15               0.0
53      802.53037     -  802.65037      -5.52521173291        0               0.12
54      802.66037     -  802.72033      -5.46788233529        5               0.05996
55      802.73037     -  803.01031      -5.52521173291        0               0.27994
56      803.02031     -  803.11092      -5.64050299191        4               0.09061
57      803.12037     -  803.19036      -5.60374132216        12               0.0699900000001
58      803.20033     -  803.49038      -5.64050299191        4               0.29005
59      803.50038     -  803.50038      -5.53915973045        6               0.0
60      803.51038     -  803.51038      -5.60374132216        12               0.0
61      803.52038     -  803.69042      -5.64050299191        4               0.17004
62      803.70038     -  803.70038      -5.53915973045        6               0.0
63      803.71033     -  803.72057      -5.60374132216        12               0.01024
64      803.73038     -  803.85038      -5.64050299191        4               0.12
65      803.86033     -  803.91038      -5.60374132216        12               0.0500500000001
66      803.92038     -  803.92038      -5.53915973045        6               0.0
67      803.93038     -  804.03038      -5.60374132216        12               0.1
68      804.04038     -  804.11033      -5.64050299191        4               0.0699499999999
69      804.12033     -  804.15038      -5.69381816614        11               0.0300500000001
70      804.16118     -  804.32038      -5.64050299191        4               0.1592
71      804.33043     -  804.36038      -5.60374132216        12               0.02995
72      804.37038     -  804.48032      -5.64050299191        4               0.10994
73      804.49032     -  804.52032      -5.60374132216        12               0.03
74      804.53037     -  804.63038      -5.64050299191        4               0.10001
75      804.64032     -  804.71033      -5.60374132216        12               0.07001
76      804.72043     -  804.72043      -5.53915973045        6               0.0
77      804.73033     -  804.75033      -5.60374132216        12               0.02
78      804.76032     -  804.86037      -5.64050299191        4               0.10005
79      804.87033     -  804.89033      -5.60374132216        12               0.02
80      804.90032     -  805.02037      -5.64050299191        4               0.12005
81      805.03033     -  805.03033      -5.53915973045        6               0.0
82      805.04037     -  805.05037      -5.60374132216        12               0.00999999999999
83      805.06032     -  805.17038      -5.64050299191        4               0.11006
84      805.18032     -  805.22042      -5.60374132216        12               0.0400999999999
85      805.23038     -  805.25037      -5.64050299191        4               0.01999
86      805.26032     -  805.39037      -5.60374132216        12               0.13005
87      805.40037     -  805.47056      -5.64050299191        4               0.07019
88      805.48036     -  805.52037      -5.60374132216        12               0.0400099999999
89      805.53038     -  805.58032      -5.64050299191        4               0.04994
90      805.59033     -  805.69115      -5.60374132216        12               0.10082
91      805.70037     -  805.72055      -5.64050299191        4               0.02018
92      805.73038     -  805.90038      -5.60374132216        12               0.17
93      805.91092     -  805.91092      -5.53915973045        6               0.0
94      805.92031     -  806.06036      -5.64050299191        4               0.14005
95      806.07038     -  806.12032      -5.60374132216        12               0.04994
96      806.13044     -  806.13044      -5.53915973045        6               0.0
97      806.14032     -  806.25037      -5.60374132216        12               0.11005
98      806.26033     -  806.30032      -5.64050299191        4               0.0399900000001
99      806.31037     -  806.31037      -5.53915973045        6               0.0
100      806.32032     -  806.43032      -5.57780151223        10               0.11
101      806.44117     -  806.44117      -5.53915973045        6               0.0
102      806.45037     -  806.47048      -5.60374132216        12               0.0201099999999
103      806.48037     -  806.52033      -5.64050299191        4               0.03996
104      806.53036     -  806.73032      -5.60374132216        12               0.19996
105      806.74037     -  806.90037      -5.64050299191        4               0.16
106      806.91037     -  806.93032      -5.69381816614        11               0.0199500000001
107      806.94033     -  807.49033      -5.64050299191        4               0.55
108      807.50037     -  807.50037      -5.60374132216        12               0.0
109      807.5106     -  807.62033      -5.57780151223        10               0.10973
110      807.63036     -  807.65036      -5.60374132216        12               0.02
111      807.66106     -  807.66106      -5.64050299191        4               0.0
112      807.67036     -  807.82037      -5.69381816614        11               0.15001
113      807.83033     -  807.84032      -5.64050299191        4               0.00999000000002
114      807.85037     -  807.91037      -5.69381816614        11               0.0599999999999
115      807.92032     -  807.93033      -5.64050299191        4               0.0100100000001
116      807.94031     -  807.94031      -5.53915973045        6               0.0
117      807.95032     -  807.95032      -5.60374132216        12               0.0
118      807.96032     -  807.96032      -5.53915973045        6               0.0
119      807.97033     -  807.98032      -5.60374132216        12               0.00999000000002
120      807.99038     -  808.08032      -5.57780151223        10               0.0899400000001
121      808.09033     -  808.27038      -5.60374132216        12               0.18005
122      808.28036     -  808.34036      -5.69381816614        11               0.0600000000001
123      808.35038     -  808.39033      -5.64050299191        4               0.03995
124      808.4006     -  808.90033      -5.69381816614        11               0.49973
125      808.91033     -  808.99033      -5.64050299191        4               0.0799999999999
126      809.00037     -  809.34033      -5.69381816614        11               0.33996
127      809.35033     -  809.40033      -5.64050299191        4               0.0500000000001
128      809.41098     -  809.42037      -5.60374132216        12               0.00939000000005
129      809.43037     -  809.46032      -5.64050299191        4               0.02995
130      809.47047     -  809.53033      -5.60374132216        12               0.0598600000001
131      809.54033     -  810.15032      -5.64050299191        4               0.60999
132      810.16033     -  810.16033      -5.10185539429        2               0.0
133      810.17033     -  810.17033      -5.37147303384        15               0.0
134      810.18037     -  810.67032      -5.64050299191        4               0.48995
135      810.68032     -  810.77032      -5.60374132216        12               0.0899999999999
136      810.78032     -  810.82037      -5.64050299191        4               0.0400500000001
137      810.83032     -  810.85032      -5.60374132216        12               0.02
138      810.86033     -  810.96037      -5.64050299191        4               0.10004
139      810.97033     -  810.98037      -5.60374132216        12               0.01004
140      810.99037     -  811.02037      -5.53915973045        6               0.03
141      811.03037     -  811.04037      -5.60374132216        12               0.0100000000001
142      811.05033     -  811.05033      -5.53915973045        6               0.0
143      811.06033     -  811.06033      -5.46788233529        5               0.0
144      811.07033     -  811.14037      -5.50092846236        8               0.0700399999999
145      811.15037     -  811.15037      -5.46788233529        5               0.0
146      811.16098     -  811.19122      -5.50092846236        8               0.03024
147      811.20032     -  811.33032      -5.52521173291        0               0.13
148      811.34037     -  811.35037      -5.46788233529        5               0.00999999999999
149      811.36032     -  811.42032      -5.50092846236        8               0.0599999999999
150      811.43033     -  811.51037      -5.52521173291        0               0.0800399999999
151      811.52037     -  811.53037      -5.46788233529        5               0.00999999999999
152      811.54033     -  811.57033      -5.52521173291        0               0.03
153      811.58037     -  811.58037      -5.37147303384        15               0.0
154      811.59037     -  811.70037      -5.52521173291        0               0.11
155      811.71037     -  811.71037      -5.37147303384        15               0.0
156      811.72037     -  811.76032      -5.52521173291        0               0.03995
157      811.77037     -  811.78036      -5.46788233529        5               0.00999000000002
158      811.79033     -  811.82037      -5.50092846236        8               0.03004
159      811.83048     -  811.88033      -5.52521173291        0               0.04985
160      811.89033     -  811.95033      -5.46788233529        5               0.0600000000001
161      811.96033     -  811.97037      -5.64050299191        4               0.01004
162      811.98037     -  812.0204      -5.60374132216        12               0.04003
163      812.03033     -  812.27033      -5.64050299191        4               0.24
164      812.28037     -  812.29037      -5.60374132216        12               0.0100000000001
165      812.30149     -  812.30149      -5.53915973045        6               0.0
166      812.31036     -  812.32033      -5.69381816614        11               0.00997000000007
167      812.33035     -  812.44116      -5.64050299191        4               0.11081
168      812.45036     -  812.56033      -5.60374132216        12               0.10997
169      812.57033     -  812.58048      -5.64050299191        4               0.01015
170      812.59033     -  812.60037      -5.60374132216        12               0.01004
171      812.61037     -  812.61037      -5.53915973045        6               0.0
172      812.62037     -  812.69033      -5.46788233529        5               0.06996
173      812.70032     -  812.80037      -5.50092846236        8               0.10005
174      812.81033     -  812.82032      -5.46788233529        5               0.00999000000002
175      812.83037     -  812.88035      -5.50092846236        8               0.04998
176      812.89037     -  812.91037      -5.46788233529        5               0.02
177      812.92033     -  812.94033      -5.4182529278        7               0.02
178      812.95032     -  812.95032      -5.46788233529        5               0.0
179      812.96033     -  812.97036      -5.50092846236        8               0.01003
180      812.98033     -  812.98033      -5.46788233529        5               0.0
181      812.99032     -  813.01037      -5.50092846236        8               0.02005
182      813.02033     -  813.07036      -5.52521173291        0               0.0500300000001
183      813.08037     -  813.13036      -5.50092846236        8               0.04999
184      813.14032     -  813.17031      -5.46788233529        5               0.02999
185      813.18037     -  813.32037      -5.52521173291        0               0.14
186      813.33032     -  813.33032      -5.37147303384        15               0.0
187      813.34032     -  813.72052      -5.52521173291        0               0.3802
188      813.73037     -  813.82036      -5.55893091787        14               0.0899900000001
189      813.83037     -  814.11033      -5.52521173291        0               0.27996
190      814.12031     -  814.22036      -5.55893091787        14               0.10005
191      814.23033     -  814.23033      -5.37147303384        15               0.0
192      814.24036     -  814.38036      -5.55893091787        14               0.14
193      814.39038     -  814.39038      -5.37147303384        15               0.0
194      814.40036     -  814.40036      -5.53915973045        6               0.0
195      814.41096     -  814.52032      -5.57780151223        10               0.10936
196      814.53033     -  814.62036      -5.55893091787        14               0.09003
197      814.63033     -  814.64036      -5.37147303384        15               0.01003
198      814.65033     -  814.75033      -5.55893091787        14               0.0999999999999
199      814.76037     -  814.76037      -5.37147303384        15               0.0
200      814.77033     -  814.95037      -5.55893091787        14               0.18004
201      814.96032     -  815.07038      -5.52521173291        0               0.11006
202      815.08042     -  815.10037      -5.50092846236        8               0.01995
203      815.11033     -  815.11033      -5.46788233529        5               0.0
204      815.12032     -  815.17037      -5.64050299191        4               0.0500500000001
205      815.18032     -  815.75031      -5.55893091787        14               0.56999
206      815.76031     -  815.77035      -5.37147303384        15               0.01004
207      815.78031     -  815.90033      -5.55893091787        14               0.12002
208      815.91036     -  815.91036      -5.37147303384        15               0.0
209      815.92037     -  815.99036      -5.52521173291        0               0.06999
210      816.00037     -  816.01032      -5.37147303384        15               0.00995
211      816.02032     -  816.08032      -5.52521173291        0               0.0600000000001
212      816.09032     -  816.09032      -5.37147303384        15               0.0
213      816.10037     -  816.13033      -5.52521173291        0               0.02996
214      816.14032     -  816.15032      -5.46788233529        5               0.00999999999999
215      816.161     -  816.22053      -5.52521173291        0               0.0595300000001
216      816.23033     -  816.25037      -5.46788233529        5               0.02004
217      816.26032     -  816.39032      -5.50092846236        8               0.13
218      816.40032     -  816.66101      -5.52521173291        0               0.26069
219      816.67032     -  816.87032      -5.55893091787        14               0.2
220      816.88032     -  816.88032      -5.37147303384        15               0.0
221      816.89037     -  816.92037      -5.52521173291        0               0.0300000000001
222      816.93032     -  816.93032      -5.37147303384        15               0.0
223      816.94032     -  817.12032      -5.52521173291        0               0.18
224      817.13032     -  817.13032      -5.37147303384        15               0.0
225      817.14032     -  817.18032      -5.50092846236        8               0.0400000000001
226      817.19032     -  817.21032      -5.37147303384        15               0.02
227      817.22036     -  817.25032      -5.50092846236        8               0.02996
228      817.26037     -  817.29032      -5.52521173291        0               0.02995
229      817.30158     -  817.38037      -5.50092846236        8               0.07879
230      817.39036     -  817.39036      -5.37147303384        15               0.0
231      817.40033     -  817.43037      -5.50092846236        8               0.03004
232      817.44037     -  817.44037      -5.46788233529        5               0.0
233      817.45037     -  817.50033      -5.50092846236        8               0.0499599999999
234      817.51037     -  817.60037      -5.52521173291        0               0.09
235      817.61033     -  817.84037      -5.50092846236        8               0.23004
236      817.85033     -  817.85033      -5.46788233529        5               0.0
237      817.86033     -  817.90037      -5.50092846236        8               0.04004
238      817.91032     -  818.13037      -5.52521173291        0               0.22005
239      818.14036     -  818.17037      -5.46788233529        5               0.0300100000001
240      818.18032     -  818.24046      -5.50092846236        8               0.0601399999999
241      818.25033     -  818.29038      -5.46788233529        5               0.0400500000001
242      818.30036     -  818.30036      -5.50092846236        8               0.0
243      818.31037     -  818.40032      -5.52521173291        0               0.0899499999999
244      818.41098     -  818.45033      -5.50092846236        8               0.03935
245      818.46032     -  818.49038      -5.46788233529        5               0.0300599999999
246      818.50032     -  818.60033      -5.52521173291        0               0.10001
247      818.61036     -  818.61036      -4.52912809899        1               0.0
248      818.62033     -  818.62033      -5.37147303384        15               0.0
249      818.63032     -  818.67036      -5.52521173291        0               0.04004
250      818.68033     -  818.69119      -5.37147303384        15               0.01086
251      818.70037     -  818.77036      -5.52521173291        0               0.06999
252      818.78037     -  818.87036      -5.64050299191        4               0.0899900000001
253      818.88033     -  818.98033      -5.52521173291        0               0.1
254      818.99033     -  818.99033      -5.37147303384        15               0.0
255      819.00033     -  819.02041      -5.50092846236        8               0.02008
256      819.03038     -  819.04038      -5.46788233529        5               0.00999999999999
257      819.05038     -  819.14036      -5.50092846236        8               0.08998
258      819.15037     -  819.18037      -5.46788233529        5               0.0300000000001
259      819.19037     -  819.23032      -5.52521173291        0               0.03995
260      819.24037     -  819.25032      -5.46788233529        5               0.00995
261      819.26037     -  819.29032      -5.50092846236        8               0.02995
262      819.30037     -  819.36033      -5.46788233529        5               0.0599599999999
263      819.37032     -  819.40033      -5.50092846236        8               0.0300100000001
264      819.41036     -  819.41036      -5.46788233529        5               0.0
